--------- beginning of main
04-11 19:50:45.295 I/MNNJNI  (15609): [llm_bench][sched][PREFILL] policy=work_steal ops=338 total=84736 step=238 threads=6 ws_total_tasks=84736 ws_local_pop_calls=18854 ws_local_pop_success=15560 ws_steal_attempts=1366 ws_steal_success=1266 ws_steal_empty=100 ws_steal_cas_retries=122 ws_stolen_tasks=3858 ws_total_chunks=16826 tasks_per_thread=[0:15692,1:11362,2:12680,3:12359,4:12397,5:11056] latency_us=811315 tok_s=631.074
04-11 19:50:45.295 I/MNNJNI  (15609): [llm_bench][warmup 1/1] finish prefill time=0.811315 s speed=631.074 tok/s
04-11 19:50:45.295 I/MNNJNI  (15609): [llm_bench][warmup 1/1] start decode gen=128 threads=1 bind=[7]
04-11 19:50:45.295 I/MNNJNI  (15609): [AutoTuner] Phase changed: PREFILL -> DECODE (threads=1, affinity=0x80)
04-11 19:50:45.975 I/MNNJNI  (15609): [llm_bench][sched][DECODE] policy=dynamic ops=168 total=38016 step=56 threads=1 dyn_total_tasks=38016 dyn_target_chunks=2 dyn_claim_calls=504 dyn_claim_success=336 dyn_claim_empty=168 dyn_claim_tasks=38016 dyn_total_chunks=336 tasks_per_thread=[0:38016] latency_us=557666 tok_s=229.528
04-11 19:50:45.975 I/MNNJNI  (15609): [llm_bench][warmup 1/1] finish decode time=0.557666 s speed=229.528 tok/s
04-11 19:50:45.975 I/MNNJNI  (15609): [AutoTuner] Phase changed: DECODE -> UNKNOWN (threads=8, affinity=0xFF)
04-11 19:50:45.975 I/MNNJNI  (15609): [llm_bench][warmup 1/1] result prefill=0.811315 s decode=0.557666 s prefill_bind=[2,3,4,5,6,7] decode_bind=[7]
04-11 19:50:45.975 I/MNNJNI  (15609): [llm_bench][measure 1/1] start prefill prompt=512 threads=6 bind=[2,3,4,5,6,7]
04-11 19:50:45.975 I/MNNJNI  (15609): [AutoTuner] Phase changed: UNKNOWN -> PREFILL (threads=6, affinity=0xFC)
04-11 19:50:46.814 I/MNNJNI  (15609): [llm_bench][sched][PREFILL] policy=work_steal ops=338 total=84736 step=238 threads=6 ws_total_tasks=84736 ws_local_pop_calls=18825 ws_local_pop_success=15560 ws_steal_attempts=1356 ws_steal_success=1237 ws_steal_empty=119 ws_steal_cas_retries=143 ws_stolen_tasks=3686 ws_total_chunks=16797 tasks_per_thread=[0:15478,1:11548,2:12620,3:12251,4:12340,5:11309] latency_us=825307 tok_s=620.375
04-11 19:50:46.814 I/MNNJNI  (15609): [llm_bench][measure 1/1] finish prefill time=0.825307 s speed=620.375 tok/s
04-11 19:50:46.814 I/MNNJNI  (15609): [llm_bench][measure 1/1] start decode gen=128 threads=1 bind=[7]
04-11 19:50:46.814 I/MNNJNI  (15609): [AutoTuner] Phase changed: PREFILL -> DECODE (threads=1, affinity=0x80)
04-11 19:50:47.495 I/MNNJNI  (15609): [llm_bench][sched][DECODE] policy=dynamic ops=168 total=38016 step=56 threads=1 dyn_total_tasks=38016 dyn_target_chunks=2 dyn_claim_calls=504 dyn_claim_success=336 dyn_claim_empty=168 dyn_claim_tasks=38016 dyn_total_chunks=336 tasks_per_thread=[0:38016] latency_us=558374 tok_s=229.237
04-11 19:50:47.495 I/MNNJNI  (15609): [llm_bench][measure 1/1] finish decode time=0.558374 s speed=229.237 tok/s
04-11 19:50:47.495 I/MNNJNI  (15609): [AutoTuner] Phase changed: DECODE -> UNKNOWN (threads=8, affinity=0xFF)
04-11 19:50:47.495 I/MNNJNI  (15609): [llm_bench][measure 1/1] result prefill=0.825307 s decode=0.558374 s prefill_bind=[2,3,4,5,6,7] decode_bind=[7]
04-11 19:50:47.495 I/MNNJNI  (15609): [llm_bench] Final result prefill=620.375 +- 0.000 tok/s decode=229.237 +- 0.000 tok/s prefill=6/[2,3,4,5,6,7] decode=1/[7]
